(Collecting) ep=    71 ep_reward_last=2.00 ep_reward_avg=2.10 ep_steps= 206 total_steps=  12124 loss=0.0000 eps=1.0000 fps=571.57
(Collecting) ep=    72 ep_reward_last=2.00 ep_reward_avg=2.20 ep_steps= 220 total_steps=  12330 loss=0.0000 eps=1.0000 fps=563.68
(Collecting) ep=    73 ep_reward_last=0.00 ep_reward_avg=2.20 ep_steps= 127 total_steps=  12443 loss=0.0000 eps=1.0000 fps=547.57
(Collecting) ep=    74 ep_reward_last=0.00 ep_reward_avg=2.20 ep_steps= 127 total_steps=  12556 loss=0.0000 eps=1.0000 fps=561.96
(Collecting) ep=    75 ep_reward_last=0.00 ep_reward_avg=2.10 ep_steps= 127 total_steps=  12669 loss=0.0000 eps=1.0000 fps=554.20
(Collecting) ep=    76 ep_reward_last=0.00 ep_reward_avg=1.30 ep_steps= 129 total_steps=  12784 loss=0.0000 eps=1.0000 fps=558.26
(Collecting) ep=    77 ep_reward_last=1.00 ep_reward_avg=1.00 ep_steps= 171 total_steps=  12941 loss=0.0000 eps=1.0000 fps=563.68
(Collecting) ep=    78 ep_reward_last=1.00 ep_reward_avg=1.10 ep_steps= 173 total_steps=  13100 loss=0.0000 eps=1.0000 fps=564.31
(Collecting) ep=    79 ep_reward_last=0.00 ep_reward_avg=1.10 ep_steps= 129 total_steps=  13215 loss=0.0000 eps=1.0000 fps=562.55
(Collecting) ep=    80 ep_reward_last=4.00 ep_reward_avg=1.00 ep_steps= 282 total_steps=  13483 loss=0.0000 eps=1.0000 fps=563.88
(Collecting) ep=    81 ep_reward_last=4.00 ep_reward_avg=1.20 ep_steps= 305 total_steps=  13774 loss=0.0000 eps=1.0000 fps=569.07
(Collecting) ep=    82 ep_reward_last=0.00 ep_reward_avg=1.00 ep_steps= 127 total_steps=  13887 loss=0.0000 eps=1.0000 fps=565.11
(Collecting) ep=    83 ep_reward_last=0.00 ep_reward_avg=1.00 ep_steps= 129 total_steps=  14002 loss=0.0000 eps=1.0000 fps=546.64
(Collecting) ep=    84 ep_reward_last=1.00 ep_reward_avg=1.10 ep_steps= 157 total_steps=  14145 loss=0.0000 eps=1.0000 fps=563.69
(Collecting) ep=    85 ep_reward_last=0.00 ep_reward_avg=1.10 ep_steps= 129 total_steps=  14260 loss=0.0000 eps=1.0000 fps=549.77
(Collecting) ep=    86 ep_reward_last=0.00 ep_reward_avg=1.10 ep_steps= 127 total_steps=  14373 loss=0.0000 eps=1.0000 fps=557.75
